{x=530,m=634,a=3725,s=1229}
{x=456,m=1563,a=1048,s=1330}
{x=2125,m=1158,a=54,s=3246}
{x=2258,m=2098,a=456,s=1574}
{x=2059,m=455,a=650,s=850}
{x=1495,m=430,a=7,s=1117}
{x=450,m=2006,a=1602,s=1584}
{x=1273,m=518,a=137,s=877}
{x=1445,m=151,a=291,s=3292}
{x=1806,m=277,a=603,s=934}
{x=908,m=1031,a=2024,s=532}
{x=791,m=1119,a=1542,s=414}
{x=129,m=1478,a=1207,s=195}
{x=194,m=306,a=578,s=2951}
{x=2724,m=1503,a=344,s=2470}
{x=1369,m=529,a=628,s=946}
{x=2319,m=215,a=772,s=457}
{x=779,m=1420,a=1988,s=43}
{x=1937,m=1475,a=519,s=266}
{x=127,m=25,a=1024,s=1434}
{x=520,m=581,a=287,s=253}
{x=497,m=812,a=839,s=3168}
{x=2540,m=53,a=1854,s=169}
{x=2088,m=81,a=975,s=413}
{x=1165,m=170,a=571,s=633}
{x=139,m=1145,a=895,s=1467}
{x=2222,m=116,a=314,s=1498}
{x=368,m=3240,a=697,s=3743}
{x=376,m=225,a=2580,s=267}
{x=983,m=1528,a=1852,s=184}
{x=1133,m=1164,a=1061,s=9}
{x=199,m=273,a=1377,s=530}
{x=190,m=694,a=1154,s=580}
{x=2056,m=68,a=399,s=203}
{x=3105,m=189,a=1548,s=18}
{x=1978,m=3778,a=273,s=290}
{x=135,m=233,a=3110,s=1595}
{x=375,m=600,a=386,s=1319}
{x=1201,m=713,a=663,s=1075}
{x=133,m=3290,a=2403,s=2185}
{x=2622,m=133,a=1350,s=1442}
{x=1043,m=61,a=2504,s=125}
{x=552,m=539,a=555,s=1868}
{x=3,m=808,a=971,s=137}
{x=298,m=258,a=2103,s=685}
{x=1478,m=220,a=1038,s=129}
{x=613,m=1278,a=982,s=676}
{x=56,m=2690,a=1815,s=736}
{x=32,m=789,a=262,s=438}
{x=288,m=247,a=1372,s=1182}
{x=2034,m=656,a=3478,s=1545}
{x=1448,m=1423,a=2697,s=252}
{x=772,m=362,a=3586,s=999}
{x=948,m=240,a=303,s=231}
{x=12,m=875,a=2823,s=234}
{x=1471,m=467,a=57,s=1030}
{x=256,m=321,a=1333,s=859}
{x=548,m=597,a=1662,s=362}
{x=170,m=413,a=1343,s=1836}
{x=2368,m=1003,a=606,s=192}
{x=966,m=1658,a=761,s=102}
{x=1325,m=213,a=279,s=307}
{x=67,m=598,a=174,s=914}
{x=1412,m=195,a=1625,s=310}
{x=59,m=1293,a=1923,s=175}
{x=2360,m=215,a=2406,s=34}
{x=126,m=10,a=3527,s=1321}
{x=203,m=888,a=1010,s=1332}
{x=3226,m=1128,a=183,s=1433}
{x=263,m=1027,a=1357,s=1639}
{x=1329,m=1322,a=413,s=509}
{x=478,m=67,a=2458,s=1}
{x=2956,m=2169,a=184,s=46}
{x=2641,m=978,a=2096,s=1218}
{x=3687,m=1057,a=1188,s=536}
{x=303,m=22,a=677,s=2911}
{x=602,m=3087,a=367,s=6}
{x=2080,m=137,a=3747,s=1459}
{x=633,m=140,a=951,s=48}
{x=60,m=3698,a=606,s=2175}
{x=844,m=1667,a=2059,s=873}
{x=1279,m=2272,a=1375,s=400}
{x=304,m=30,a=717,s=462}
{x=14,m=2114,a=572,s=1561}
{x=41,m=265,a=17,s=112}
{x=1221,m=49,a=986,s=1581}
{x=1611,m=2847,a=497,s=284}
{x=553,m=1194,a=18,s=471}
{x=520,m=829,a=874,s=1155}
{x=2327,m=616,a=201,s=109}
{x=673,m=1222,a=874,s=307}
{x=342,m=1172,a=248,s=956}
{x=1226,m=1501,a=575,s=306}
{x=46,m=1858,a=73,s=2525}
{x=40,m=2524,a=1575,s=101}
{x=320,m=265,a=1267,s=2708}
{x=890,m=1211,a=67,s=747}
{x=813,m=1151,a=462,s=445}
{x=2549,m=341,a=2896,s=1125}
{x=408,m=4,a=824,s=909}
{x=25,m=90,a=94,s=75}
{x=148,m=1724,a=2425,s=333}
{x=42,m=9,a=585,s=688}
{x=297,m=155,a=1001,s=1571}
{x=2636,m=894,a=62,s=1171}
{x=2637,m=32,a=60,s=2589}
{x=185,m=2404,a=272,s=686}
{x=2671,m=1258,a=292,s=115}
{x=326,m=508,a=1588,s=1915}
{x=413,m=983,a=615,s=284}
{x=226,m=2098,a=151,s=288}
{x=1497,m=2339,a=735,s=1683}
{x=690,m=2040,a=1403,s=222}
{x=684,m=789,a=1206,s=905}
{x=18,m=35,a=1427,s=290}
{x=678,m=69,a=194,s=979}
{x=541,m=2546,a=1342,s=69}
{x=828,m=558,a=2693,s=946}
{x=577,m=181,a=3819,s=2663}
{x=284,m=2466,a=397,s=34}
{x=507,m=969,a=2119,s=2010}
{x=3027,m=685,a=1904,s=1763}
{x=781,m=1942,a=1460,s=1737}
{x=285,m=2008,a=791,s=1821}
{x=1710,m=1446,a=1415,s=463}
{x=637,m=843,a=67,s=999}
{x=679,m=1982,a=869,s=135}
{x=324,m=1489,a=897,s=1650}
{x=2654,m=943,a=600,s=2739}
{x=1150,m=2385,a=451,s=3120}
{x=2151,m=658,a=2098,s=1254}
{x=3225,m=686,a=645,s=993}
{x=91,m=967,a=324,s=2513}
{x=541,m=349,a=2674,s=1663}
{x=152,m=859,a=2227,s=575}
{x=1850,m=372,a=1309,s=52}
{x=1483,m=1990,a=499,s=68}
{x=1885,m=2916,a=15,s=874}
{x=2606,m=2212,a=67,s=492}
{x=971,m=2447,a=638,s=2378}
{x=870,m=301,a=1403,s=172}
